table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
VIF_financial_statements_2022_separate|table_18,VIF_financial_statements_2022_separate,VIF,2022,separate,PERCENT,0,0,Công ty TNHH MTV Lâm nghiệp Đình Lập,Bên vay | Công ty TNHH MTV Ván dán Vinafor Bắc Giang | Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty TNHH MTV Lâm nghiệp Đình Lập,,,False,False
VIF_financial_statements_2022_separate|table_18,VIF_financial_statements_2022_separate,VIF,2022,separate,VND,0,1,Công ty TNHH MTV Lâm nghiệp Đình Lập,Số cuối năm (VND) | 85.691.452.088 | 14.694.600.000,15.500.000.000,15500000000.0,15500000000.0,False,False
VIF_financial_statements_2022_separate|table_18,VIF_financial_statements_2022_separate,VIF,2022,separate,PERCENT,0,2,Công ty TNHH MTV Lâm nghiệp Đình Lập,"Kỳ hạn trả gốc và lãi | Ngày đảo hạn cuối cùng là ngày 31 tháng 12 năm 2028 theo Phụ lục hợp đồng vay vốn số 195 ngày 26 tháng 3 năm 2021. Gốc vay và lãi vay trả khi đáo hạn. Lãi suất bắt đầu áp dụng từ ngày 1 tháng 1 năm 2021 là 5%/năm. Tổng Công ty đã trích lập dự phòng theo thời gian quá hạn của các khoản vay với giá trị là 42.830.262.026 VND. | Ngày đảo hạn cuối cùng là ngày 31 tháng 12 năm 2026. Lãi vay và gốc vay trả khi đáo hạn. Lãi suất trong kỳ là 5,9%/năm.","Ngày đảo hạn cuối cùng là ngày 31 tháng 12 năm 2024. Lãi vay và gốc vay trả khi đáo hạn. Lãi suất trong kỳ là 5,9%/năm.",,,False,False
VIF_financial_statements_2022_separate|table_18,VIF_financial_statements_2022_separate,VIF,2022,separate,PERCENT,0,3,Công ty TNHH MTV Lâm nghiệp Đình Lập,"Hình thức đảm bảo | Toàn bộ tài sản của bên vay | Toàn bộ tài sản của bên vay, bao gồm cả tài sản trong tương lai hình thành từ khoản vay.","Toàn bộ tài sản, nợ phải thu hàng tồn kho của bên vay, bao gồm tài sản trong tương lai hình thành từ khoản vay.",,,False,False
VIF_financial_statements_2022_separate|table_18,VIF_financial_statements_2022_separate,VIF,2022,separate,PERCENT,1,0,Công ty TNHH MTV Lâm nghiệp Đình Lập,Bên vay | Công ty TNHH MTV Ván dán Vinafor Bắc Giang | Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty TNHH MTV Lâm nghiệp Đình Lập,,,False,False
VIF_financial_statements_2022_separate|table_18,VIF_financial_statements_2022_separate,VIF,2022,separate,VND,1,1,Công ty TNHH MTV Lâm nghiệp Đình Lập,Số cuối năm (VND) | 85.691.452.088 | 14.694.600.000,808.999.000,808999000.0,808999000.0,False,False
VIF_financial_statements_2022_separate|table_18,VIF_financial_statements_2022_separate,VIF,2022,separate,PERCENT,1,2,Công ty TNHH MTV Lâm nghiệp Đình Lập,"Kỳ hạn trả gốc và lãi | Ngày đảo hạn cuối cùng là ngày 31 tháng 12 năm 2028 theo Phụ lục hợp đồng vay vốn số 195 ngày 26 tháng 3 năm 2021. Gốc vay và lãi vay trả khi đáo hạn. Lãi suất bắt đầu áp dụng từ ngày 1 tháng 1 năm 2021 là 5%/năm. Tổng Công ty đã trích lập dự phòng theo thời gian quá hạn của các khoản vay với giá trị là 42.830.262.026 VND. | Ngày đảo hạn cuối cùng là ngày 31 tháng 12 năm 2026. Lãi vay và gốc vay trả khi đáo hạn. Lãi suất trong kỳ là 5,9%/năm.","Ngày đảo hạn cuối cùng là ngày 28 tháng 12 năm 2024. Lãi vay và gốc vay trả khi đáo hạn. Lãi suất trong kỳ là 6,1%/năm.",,,False,False
VIF_financial_statements_2022_separate|table_18,VIF_financial_statements_2022_separate,VIF,2022,separate,PERCENT,1,3,Công ty TNHH MTV Lâm nghiệp Đình Lập,"Hình thức đảm bảo | Toàn bộ tài sản của bên vay | Toàn bộ tài sản của bên vay, bao gồm cả tài sản trong tương lai hình thành từ khoản vay.","Toàn bộ máy móc, thiết bị, cơ sở hạ tầng của uưởng chế biến gỗ Khau Vường – địa chỉ thống Khe Vường, xã Đình Lập, tỉnh Lạng Sơn (bao gồm cả tài sản hiện có và tài sản hình thành trong tương lai từ khoản vay).",,,False,False
VIF_financial_statements_2022_separate|table_18,VIF_financial_statements_2022_separate,VIF,2022,separate,PERCENT,2,0,Công ty TNHH MTV Lâm nghiệp Đình Lập,Bên vay | Công ty TNHH MTV Ván dán Vinafor Bắc Giang | Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty TNHH MTV Lâm nghiệp Đình Lập,,,False,False
VIF_financial_statements_2022_separate|table_18,VIF_financial_statements_2022_separate,VIF,2022,separate,VND,2,1,Công ty TNHH MTV Lâm nghiệp Đình Lập,Số cuối năm (VND) | 85.691.452.088 | 14.694.600.000,200.000.000,200000000.0,200000000.0,False,False
VIF_financial_statements_2022_separate|table_18,VIF_financial_statements_2022_separate,VIF,2022,separate,PERCENT,2,2,Công ty TNHH MTV Lâm nghiệp Đình Lập,"Kỳ hạn trả gốc và lãi | Ngày đảo hạn cuối cùng là ngày 31 tháng 12 năm 2028 theo Phụ lục hợp đồng vay vốn số 195 ngày 26 tháng 3 năm 2021. Gốc vay và lãi vay trả khi đáo hạn. Lãi suất bắt đầu áp dụng từ ngày 1 tháng 1 năm 2021 là 5%/năm. Tổng Công ty đã trích lập dự phòng theo thời gian quá hạn của các khoản vay với giá trị là 42.830.262.026 VND. | Ngày đảo hạn cuối cùng là ngày 31 tháng 12 năm 2026. Lãi vay và gốc vay trả khi đáo hạn. Lãi suất trong kỳ là 5,9%/năm.","Ngày đảo hạn cuối cùng là ngày 28 tháng 12 năm 2024. Lãi vay và gốc vay trả khi đáo hạn. Lãi suất trong kỳ là 6,1%/năm.",,,False,False
VIF_financial_statements_2022_separate|table_18,VIF_financial_statements_2022_separate,VIF,2022,separate,PERCENT,2,3,Công ty TNHH MTV Lâm nghiệp Đình Lập,"Hình thức đảm bảo | Toàn bộ tài sản của bên vay | Toàn bộ tài sản của bên vay, bao gồm cả tài sản trong tương lai hình thành từ khoản vay.","Toàn bộ khoản phải thu, hàng tồn kho (không kể rừng trồng) tại thời điểm giải ngân khoản vay và được hình thành từ khoản vay.",,,False,False
VIF_financial_statements_2022_separate|table_18,VIF_financial_statements_2022_separate,VIF,2022,separate,PERCENT,3,0,Công ty TNHH MTV Lâm nghiệp Đình Lập,Bên vay | Công ty TNHH MTV Ván dán Vinafor Bắc Giang | Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty TNHH MTV Lâm nghiệp Đình Lập,,,False,False
VIF_financial_statements_2022_separate|table_18,VIF_financial_statements_2022_separate,VIF,2022,separate,VND,3,1,Công ty TNHH MTV Lâm nghiệp Đình Lập,Số cuối năm (VND) | 85.691.452.088 | 14.694.600.000,16.861.000.000,16861000000.0,16861000000.0,False,False
VIF_financial_statements_2022_separate|table_18,VIF_financial_statements_2022_separate,VIF,2022,separate,PERCENT,3,2,Công ty TNHH MTV Lâm nghiệp Đình Lập,"Kỳ hạn trả gốc và lãi | Ngày đảo hạn cuối cùng là ngày 31 tháng 12 năm 2028 theo Phụ lục hợp đồng vay vốn số 195 ngày 26 tháng 3 năm 2021. Gốc vay và lãi vay trả khi đáo hạn. Lãi suất bắt đầu áp dụng từ ngày 1 tháng 1 năm 2021 là 5%/năm. Tổng Công ty đã trích lập dự phòng theo thời gian quá hạn của các khoản vay với giá trị là 42.830.262.026 VND. | Ngày đảo hạn cuối cùng là ngày 31 tháng 12 năm 2026. Lãi vay và gốc vay trả khi đáo hạn. Lãi suất trong kỳ là 5,9%/năm.","Ngày đảo hạn cuối cùng là ngày 31 tháng 12 năm 2026. Lãi vay và gốc vay trả khi đáo hạn. Lãi suất trong kỳ là 5,9%/năm.",,,False,False
VIF_financial_statements_2022_separate|table_18,VIF_financial_statements_2022_separate,VIF,2022,separate,PERCENT,3,3,Công ty TNHH MTV Lâm nghiệp Đình Lập,"Hình thức đảm bảo | Toàn bộ tài sản của bên vay | Toàn bộ tài sản của bên vay, bao gồm cả tài sản trong tương lai hình thành từ khoản vay.","Toàn bộ tài sản, nợ phải thu hàng tồn kho của bên vay, bao gồm tài sản trong tương lai hình thành từ khoản vay.",,,False,False
