table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,0,0,Công ty TNHH Tiến Phát Đông Bắc,Bên liên quan | Công ty TNHH Một thành viên Máy Xây dựng Matec | Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty TNHH Tiến Phát Đông Bắc,,,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,0,1,Công ty TNHH Tiến Phát Đông Bắc,Nội dung nghiệp vụ | Thuê máy móc thiết bị Cho thuê máy móc thiết bị Thuê kho Phí gia công | Cho vay Lãi cho vay Tạm ứng Phí môi giới Thu hồi cho vay,Cho vay Lãi cho vay,,,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,0,2,Công ty TNHH Tiến Phát Đông Bắc,Năm nay | 534.163.742.633 273.938.662.845 257.863.392 - | 383.396.059.862 29.703.134.964 13.000.000.000 - -,252.834.803.567 13.698.467.098,2.52834803567137e+22,2.52834803567137e+22,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,0,3,Công ty TNHH Tiến Phát Đông Bắc,VNDNăm trước | 555.171.190.486 181.682.340.303 265.530.992 252.462.500 | 101.642.709.040 7.961.699.762 - 9.900.000.000 6.574.494.289,- -,,,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,1,0,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Bên liên quan | Công ty TNHH Một thành viên Máy Xây dựng Matec | Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,,,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,1,1,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Nội dung nghiệp vụ | Thuê máy móc thiết bị Cho thuê máy móc thiết bị Thuê kho Phí gia công | Cho vay Lãi cho vay Tạm ứng Phí môi giới Thu hồi cho vay,Chi phí thầu phụ Khác,,,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,1,2,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Năm nay | 534.163.742.633 273.938.662.845 257.863.392 - | 383.396.059.862 29.703.134.964 13.000.000.000 - -,158.317.193.912 727.290.061,1.583171939127273e+20,1.583171939127273e+20,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,1,3,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,VNDNăm trước | 555.171.190.486 181.682.340.303 265.530.992 252.462.500 | 101.642.709.040 7.961.699.762 - 9.900.000.000 6.574.494.289,46.327.108.084 -,,,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,2,0,Công ty Cổ phần Nhà Hòa Bình,Bên liên quan | Công ty TNHH Một thành viên Máy Xây dựng Matec | Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Nhà Hòa Bình,,,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,2,1,Công ty Cổ phần Nhà Hòa Bình,Nội dung nghiệp vụ | Thuê máy móc thiết bị Cho thuê máy móc thiết bị Thuê kho Phí gia công | Cho vay Lãi cho vay Tạm ứng Phí môi giới Thu hồi cho vay,Lãi cho vay Thuê văn phòng,,,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,2,2,Công ty Cổ phần Nhà Hòa Bình,Năm nay | 534.163.742.633 273.938.662.845 257.863.392 - | 383.396.059.862 29.703.134.964 13.000.000.000 - -,58.959.810.790 17.056.893.859,5.895981079017057e+21,5.895981079017057e+21,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,2,3,Công ty Cổ phần Nhà Hòa Bình,VNDNăm trước | 555.171.190.486 181.682.340.303 265.530.992 252.462.500 | 101.642.709.040 7.961.699.762 - 9.900.000.000 6.574.494.289,52.886.160.417 17.776.178.565,5.288616041717776e+21,5.288616041717776e+21,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,3,0,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Bên liên quan | Công ty TNHH Một thành viên Máy Xây dựng Matec | Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,,,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,3,1,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Nội dung nghiệp vụ | Thuê máy móc thiết bị Cho thuê máy móc thiết bị Thuê kho Phí gia công | Cho vay Lãi cho vay Tạm ứng Phí môi giới Thu hồi cho vay,Chi phí thầu phụ Thuê vật tư Thu nhập từ thanh lý phế liệu Mua vật tư Thu nhập từ thanh lý tài sản cố định,,,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,3,2,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Năm nay | 534.163.742.633 273.938.662.845 257.863.392 - | 383.396.059.862 29.703.134.964 13.000.000.000 - -,56.849.822.930 33.980.154.370 14.808.672.899 7.299.579.373 3.971.473.516,5.68498229303398e+52,5.68498229303398e+52,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,3,3,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,VNDNăm trước | 555.171.190.486 181.682.340.303 265.530.992 252.462.500 | 101.642.709.040 7.961.699.762 - 9.900.000.000 6.574.494.289,117.222.085.691 26.434.164.145 573.902.624 1.868.349.606 9.968.096.000,1.1722208569126435e+51,1.1722208569126435e+51,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,4,0,Công ty Cổ phần Tiến Phát Sanyo Homes,Bên liên quan | Công ty TNHH Một thành viên Máy Xây dựng Matec | Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Tiến Phát Sanyo Homes,,,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,4,1,Công ty Cổ phần Tiến Phát Sanyo Homes,Nội dung nghiệp vụ | Thuê máy móc thiết bị Cho thuê máy móc thiết bị Thuê kho Phí gia công | Cho vay Lãi cho vay Tạm ứng Phí môi giới Thu hồi cho vay,Cung cấp dịch vụ xây dựng,,,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,4,2,Công ty Cổ phần Tiến Phát Sanyo Homes,Năm nay | 534.163.742.633 273.938.662.845 257.863.392 - | 383.396.059.862 29.703.134.964 13.000.000.000 - -,35.775.426.683,35775426683.0,35775426683.0,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,4,3,Công ty Cổ phần Tiến Phát Sanyo Homes,VNDNăm trước | 555.171.190.486 181.682.340.303 265.530.992 252.462.500 | 101.642.709.040 7.961.699.762 - 9.900.000.000 6.574.494.289,38.076.580.137,38076580137.0,38076580137.0,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,5,0,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Bên liên quan | Công ty TNHH Một thành viên Máy Xây dựng Matec | Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Trang trí Nội thất Onwa Tech,,,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,5,1,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Nội dung nghiệp vụ | Thuê máy móc thiết bị Cho thuê máy móc thiết bị Thuê kho Phí gia công | Cho vay Lãi cho vay Tạm ứng Phí môi giới Thu hồi cho vay,Chi phí thầu phụ Khác,,,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,5,2,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Năm nay | 534.163.742.633 273.938.662.845 257.863.392 - | 383.396.059.862 29.703.134.964 13.000.000.000 - -,20.877.746.615 3.714.865.638,2.0877746615371488e+20,2.0877746615371488e+20,False,False
HBC_financial_statements_2022_separate|table_62,HBC_financial_statements_2022_separate,HBC,2022,separate,VND,5,3,Công ty Cổ phần Trang trí Nội thất Onwa Tech,VNDNăm trước | 555.171.190.486 181.682.340.303 265.530.992 252.462.500 | 101.642.709.040 7.961.699.762 - 9.900.000.000 6.574.494.289,6.986.814.929 -,,,False,False
