table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,0,0,Công ty Hùng Anh Năm,Bên liên quan | Công ty Cổ phần Mai Lan | Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty Hùng Anh Năm,,,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,0,1,Công ty Hùng Anh Năm,Nội dung nghiệp vụ | Thu hồi gốc cho vayGốc cho vayTrả trướcMua dịch vụCung cấp dịch vụLãi cho vayCổ tức được chia | Lợi nhuận được chiaGóp vốn HTKDCung cấp dịch vụBán hàng hóaMua dịch vụ,Cung cấp dịch vụGóp vốn,,,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,0,2,Công ty Hùng Anh Năm,Năm nay | 66.103.000.00041.167.000.00010.003.173.875238.644.307214.160.917136.987.605- | 39.200.000.00016.341.000.000269.488.476-,39.159.206.662-,,,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,0,3,Công ty Hùng Anh Năm,Năm trước | 72.550.000.00063.850.000.000-324.285.1323.374.369.9022.799.361.500 | 23.089.574.632-278.885.2083.022.650.8936.675.196.709,111.952.0018.839.000.000,1.119520018839e+18,1.119520018839e+18,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,1,0,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Bên liên quan | Công ty Cổ phần Mai Lan | Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,,,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,1,1,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Nội dung nghiệp vụ | Thu hồi gốc cho vayGốc cho vayTrả trướcMua dịch vụCung cấp dịch vụLãi cho vayCổ tức được chia | Lợi nhuận được chiaGóp vốn HTKDCung cấp dịch vụBán hàng hóaMua dịch vụ,Gốc đi vayLãi đi vayCung cấp dịch vụChuyển nhượng cổ phần,,,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,1,2,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Năm nay | 66.103.000.00041.167.000.00010.003.173.875238.644.307214.160.917136.987.605- | 39.200.000.00016.341.000.000269.488.476-,33.230.000.000759.895.069604.820.843-,,,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,1,3,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Năm trước | 72.550.000.00063.850.000.000-324.285.1323.374.369.9022.799.361.500 | 23.089.574.632-278.885.2083.022.650.8936.675.196.709,-722.593.99914.335.586.000,-7.2259399914335584e+19,-7.2259399914335584e+19,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,2,0,Bà Huỳnh Bích Ngọc,Bên liên quan | Công ty Cổ phần Mai Lan | Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Bà Huỳnh Bích Ngọc,,,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,2,1,Bà Huỳnh Bích Ngọc,Nội dung nghiệp vụ | Thu hồi gốc cho vayGốc cho vayTrả trướcMua dịch vụCung cấp dịch vụLãi cho vayCổ tức được chia | Lợi nhuận được chiaGóp vốn HTKDCung cấp dịch vụBán hàng hóaMua dịch vụ,Lãi đi vayGốc đi vayTrả trước,,,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,2,2,Bà Huỳnh Bích Ngọc,Năm nay | 66.103.000.00041.167.000.00010.003.173.875238.644.307214.160.917136.987.605- | 39.200.000.00016.341.000.000269.488.476-,2.360.500.788-,,,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,2,3,Bà Huỳnh Bích Ngọc,Năm trước | 72.550.000.00063.850.000.000-324.285.1323.374.369.9022.799.361.500 | 23.089.574.632-278.885.2083.022.650.8936.675.196.709,623.281.43916.666.500.0001.911.437.500,6.23281439166665e+29,6.23281439166665e+29,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,3,0,Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Bên liên quan | Công ty Cổ phần Mai Lan | Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,,,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,3,1,Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Nội dung nghiệp vụ | Thu hồi gốc cho vayGốc cho vayTrả trướcMua dịch vụCung cấp dịch vụLãi cho vayCổ tức được chia | Lợi nhuận được chiaGóp vốn HTKDCung cấp dịch vụBán hàng hóaMua dịch vụ,VayLãi vay,,,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,3,2,Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Năm nay | 66.103.000.00041.167.000.00010.003.173.875238.644.307214.160.917136.987.605- | 39.200.000.00016.341.000.000269.488.476-,50.000.000.0004.458.602.743,5.000000000044586e+20,5.000000000044586e+20,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,3,3,Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Năm trước | 72.550.000.00063.850.000.000-324.285.1323.374.369.9022.799.361.500 | 23.089.574.632-278.885.2083.022.650.8936.675.196.709,-,0.0,0.0,True,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,4,0,Công ty Cổ phần Thành Thành Nam,Bên liên quan | Công ty Cổ phần Mai Lan | Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty Cổ phần Thành Thành Nam,,,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,4,1,Công ty Cổ phần Thành Thành Nam,Nội dung nghiệp vụ | Thu hồi gốc cho vayGốc cho vayTrả trướcMua dịch vụCung cấp dịch vụLãi cho vayCổ tức được chia | Lợi nhuận được chiaGóp vốn HTKDCung cấp dịch vụBán hàng hóaMua dịch vụ,Mua dịch vụLãi vay,,,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,4,2,Công ty Cổ phần Thành Thành Nam,Năm nay | 66.103.000.00041.167.000.00010.003.173.875238.644.307214.160.917136.987.605- | 39.200.000.00016.341.000.000269.488.476-,7.386.545.170525.000.000,7.386545170525e+18,7.386545170525e+18,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,4,3,Công ty Cổ phần Thành Thành Nam,Năm trước | 72.550.000.00063.850.000.000-324.285.1323.374.369.9022.799.361.500 | 23.089.574.632-278.885.2083.022.650.8936.675.196.709,8.495.244.114164.582.465,8.495244114164582e+18,8.495244114164582e+18,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,5,0,Công ty TNHH MTV TTC Land Retail Management,Bên liên quan | Công ty Cổ phần Mai Lan | Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV TTC Land Retail Management,,,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,5,1,Công ty TNHH MTV TTC Land Retail Management,Nội dung nghiệp vụ | Thu hồi gốc cho vayGốc cho vayTrả trướcMua dịch vụCung cấp dịch vụLãi cho vayCổ tức được chia | Lợi nhuận được chiaGóp vốn HTKDCung cấp dịch vụBán hàng hóaMua dịch vụ,Lãi đi vayTrả gốc vay,,,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,5,2,Công ty TNHH MTV TTC Land Retail Management,Năm nay | 66.103.000.00041.167.000.00010.003.173.875238.644.307214.160.917136.987.605- | 39.200.000.00016.341.000.000269.488.476-,25.523.8315.000.000,255238315000000.0,255238315000000.0,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,5,3,Công ty TNHH MTV TTC Land Retail Management,Năm trước | 72.550.000.00063.850.000.000-324.285.1323.374.369.9022.799.361.500 | 23.089.574.632-278.885.2083.022.650.8936.675.196.709,25.800.001-,,,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,6,0,Công ty Kim Thành,Bên liên quan | Công ty Cổ phần Mai Lan | Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty Kim Thành,,,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,6,1,Công ty Kim Thành,Nội dung nghiệp vụ | Thu hồi gốc cho vayGốc cho vayTrả trướcMua dịch vụCung cấp dịch vụLãi cho vayCổ tức được chia | Lợi nhuận được chiaGóp vốn HTKDCung cấp dịch vụBán hàng hóaMua dịch vụ,Lãi đi vayHoàn trả gốc đi vay,,,False,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,6,2,Công ty Kim Thành,Năm nay | 66.103.000.00041.167.000.00010.003.173.875238.644.307214.160.917136.987.605- | 39.200.000.00016.341.000.000269.488.476-,-,0.0,0.0,True,False
SCR_financial_statements_2023_separate|table_57,SCR_financial_statements_2023_separate,SCR,2023,separate,UNKNOWN,6,3,Công ty Kim Thành,Năm trước | 72.550.000.00063.850.000.000-324.285.1323.374.369.9022.799.361.500 | 23.089.574.632-278.885.2083.022.650.8936.675.196.709,81.000.0007.300.000.000,8.100000073e+17,8.100000073e+17,False,False
