table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
HHV_financial_statements_2023_separate|table_54,HHV_financial_statements_2023_separate,HHV,2023,separate,UNKNOWN,0,0,Quyền sở hữu trực tiếp,column_1,Quyền sở hữu trực tiếp,,,False,False
HHV_financial_statements_2023_separate|table_54,HHV_financial_statements_2023_separate,HHV,2023,separate,UNKNOWN,0,1,Quyền sở hữu trực tiếp,Tỷ lệ lợi ích,"1,23%",1.23,1.23,False,False
HHV_financial_statements_2023_separate|table_54,HHV_financial_statements_2023_separate,HHV,2023,separate,UNKNOWN,0,2,Quyền sở hữu trực tiếp,Quyền biểu quyết,"1,23%",1.23,1.23,False,False
HHV_financial_statements_2023_separate|table_54,HHV_financial_statements_2023_separate,HHV,2023,separate,UNKNOWN,1,0,- Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đẻo Cả,column_1,- Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đẻo Cả,,,False,False
HHV_financial_statements_2023_separate|table_54,HHV_financial_statements_2023_separate,HHV,2023,separate,UNKNOWN,1,1,- Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đẻo Cả,Tỷ lệ lợi ích,"1,23%",1.23,1.23,False,False
HHV_financial_statements_2023_separate|table_54,HHV_financial_statements_2023_separate,HHV,2023,separate,UNKNOWN,1,2,- Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đẻo Cả,Quyền biểu quyết,"1,23%",1.23,1.23,False,False
HHV_financial_statements_2023_separate|table_54,HHV_financial_statements_2023_separate,HHV,2023,separate,UNKNOWN,2,0,Quyền sở hữu và biểu quyết gián tiếp,column_1,Quyền sở hữu và biểu quyết gián tiếp,,,False,False
HHV_financial_statements_2023_separate|table_54,HHV_financial_statements_2023_separate,HHV,2023,separate,UNKNOWN,2,1,Quyền sở hữu và biểu quyết gián tiếp,Tỷ lệ lợi ích,"20,06%",20.06,20.06,False,False
HHV_financial_statements_2023_separate|table_54,HHV_financial_statements_2023_separate,HHV,2023,separate,UNKNOWN,2,2,Quyền sở hữu và biểu quyết gián tiếp,Quyền biểu quyết,"20,11%",20.11,20.11,False,False
HHV_financial_statements_2023_separate|table_54,HHV_financial_statements_2023_separate,HHV,2023,separate,UNKNOWN,3,0,- Công ty CP Đầu tư Hải Thạch B.O.T,column_1,- Công ty CP Đầu tư Hải Thạch B.O.T,,,False,False
HHV_financial_statements_2023_separate|table_54,HHV_financial_statements_2023_separate,HHV,2023,separate,UNKNOWN,3,1,- Công ty CP Đầu tư Hải Thạch B.O.T,Tỷ lệ lợi ích,"20,06%",20.06,20.06,False,False
HHV_financial_statements_2023_separate|table_54,HHV_financial_statements_2023_separate,HHV,2023,separate,UNKNOWN,3,2,- Công ty CP Đầu tư Hải Thạch B.O.T,Quyền biểu quyết,"20,11%",20.11,20.11,False,False
HHV_financial_statements_2023_separate|table_54,HHV_financial_statements_2023_separate,HHV,2023,separate,UNKNOWN,4,0,Cộng,column_1,Cộng,,,False,False
HHV_financial_statements_2023_separate|table_54,HHV_financial_statements_2023_separate,HHV,2023,separate,UNKNOWN,4,1,Cộng,Tỷ lệ lợi ích,"21,29%",21.29,21.29,False,False
HHV_financial_statements_2023_separate|table_54,HHV_financial_statements_2023_separate,HHV,2023,separate,UNKNOWN,4,2,Cộng,Quyền biểu quyết,"21,34%",21.34,21.34,False,False
