table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,0,0,Công ty TNHH MTV Bao bl Linh Khang,Bên liên quan | Công ty Cổ phần Cá Nước Ngọt Gia Lai | Công ty Cổ phần Chế biến Thức ăn Gia súc ĐôngGia Lai,Công ty TNHH MTV Bao bl Linh Khang,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,0,1,Công ty TNHH MTV Bao bl Linh Khang,Nội dung nghiệp vụ | Bán hàng hóaMua hàng hóaChi hộThu nhập khác | Cho vayLãi cho vayBán hàng hóaMua hàng hóaThu nhập khác,Mua hàng hóaVayTrả gốc vay,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,0,2,Công ty TNHH MTV Bao bl Linh Khang,Năm nay | 230.854.89017.759.5807.662.857364.952 | 329.951.498121.119.67698.174.49074.456.962280.000,75.588.84737.000.00026.000.000,7.558884737000001e+23,7.558884737000001e+23,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,0,3,Công ty TNHH MTV Bao bl Linh Khang,Ngàn VNDNăm trước | ---- | ----492.645.513564.399.946-,12.195.863----,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,1,0,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Bên liên quan | Công ty Cổ phần Cá Nước Ngọt Gia Lai | Công ty Cổ phần Chế biến Thức ăn Gia súc ĐôngGia Lai,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,1,1,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Nội dung nghiệp vụ | Bán hàng hóaMua hàng hóaChi hộThu nhập khác | Cho vayLãi cho vayBán hàng hóaMua hàng hóaThu nhập khác,Lãi cho vayLãi trái phiếuMua hàng hóaCho vay,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,1,2,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Năm nay | 230.854.89017.759.5807.662.857364.952 | 329.951.498121.119.67698.174.49074.456.962280.000,96.634.79417.277.00015.113.602-,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,1,3,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Ngàn VNDNăm trước | ---- | ----492.645.513564.399.946-,52.826.13215.083.333179.971.37233.103.058,5.282613215083333e+32,5.282613215083333e+32,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,2,0,Công ty Cổ phần Xuất Nhập khẩu Dược Thú y Nasa,Bên liên quan | Công ty Cổ phần Cá Nước Ngọt Gia Lai | Công ty Cổ phần Chế biến Thức ăn Gia súc ĐôngGia Lai,Công ty Cổ phần Xuất Nhập khẩu Dược Thú y Nasa,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,2,1,Công ty Cổ phần Xuất Nhập khẩu Dược Thú y Nasa,Nội dung nghiệp vụ | Bán hàng hóaMua hàng hóaChi hộThu nhập khác | Cho vayLãi cho vayBán hàng hóaMua hàng hóaThu nhập khác,Mua hàng hóa,,,False,False
HAG_financial_statements_2024_consolidated|table_65,HAG_financial_statements_2024_consolidated,HAG,2024,consolidated,VND,2,2,Công ty Cổ phần Xuất Nhập khẩu Dược Thú y Nasa,Năm nay | 230.854.89017.759.5807.662.857364.952 | 329.951.498121.119.67698.174.49074.456.962280.000,9.595.781,9595781.0,9595781.0,False,False
