table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,0,0,Công ty Cổ phần Vận tải Hà Tiên,Bên liên quan | Công ty TNHH MTV Xi Măng Hạ Long | Tổng Công ty Công nghiệp Xi măng Việt Nam,Công ty Cổ phần Vận tải Hà Tiên,,,False,False
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,0,1,Công ty Cổ phần Vận tải Hà Tiên,Mối quan hệ | Bên liên quan | Công ty mẹ,Bên liên quan,,,False,False
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,0,2,Công ty Cổ phần Vận tải Hà Tiên,"Nội dung nghiệp vụ | Phí gia công xi măngBán cát, pozulanBán cátThanh lý tài sản, công cụ dụng cụ | Chi phí tư vấnChi phí lãi vayBán xi măngMua vỏ bao",Chi phí vận chuyểnBán xi măngNhận chuyển nhượng vốn gópCung cấp dịch vụ,,,False,False
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,0,3,Công ty Cổ phần Vận tải Hà Tiên,Năm nay | 638.320.126.8582.259.830.591181.800.000- | 121.766.470.1541.229.800.154280.409.091-,117.572.863.776- - - -,,,False,False
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,0,4,Công ty Cổ phần Vận tải Hà Tiên,VNDNăm trước | 961.829.750.013678.411.092-99.837.045 | 113.047.877.6401.234.011.7962.652.681.8207.895.266.880,97.774.318.2381.828.233.0001.500.000.0005.096.320,9.777431823818282e+37,9.777431823818282e+37,False,False
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,1,0,Chi nhánh Công ty TNHH Một thành viên Xi măng Vicem Hoàng Thạch – Xí nghiệp Tiêu thụ,Bên liên quan | Công ty TNHH MTV Xi Măng Hạ Long | Tổng Công ty Công nghiệp Xi măng Việt Nam,Chi nhánh Công ty TNHH Một thành viên Xi măng Vicem Hoàng Thạch – Xí nghiệp Tiêu thụ,,,False,False
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,1,1,Chi nhánh Công ty TNHH Một thành viên Xi măng Vicem Hoàng Thạch – Xí nghiệp Tiêu thụ,Mối quan hệ | Bên liên quan | Công ty mẹ,Bên liên quan,,,False,False
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,1,2,Chi nhánh Công ty TNHH Một thành viên Xi măng Vicem Hoàng Thạch – Xí nghiệp Tiêu thụ,"Nội dung nghiệp vụ | Phí gia công xi măngBán cát, pozulanBán cátThanh lý tài sản, công cụ dụng cụ | Chi phí tư vấnChi phí lãi vayBán xi măngMua vỏ bao",Mua clinkerPhí gia công xi măng,,,False,False
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,1,3,Chi nhánh Công ty TNHH Một thành viên Xi măng Vicem Hoàng Thạch – Xí nghiệp Tiêu thụ,Năm nay | 638.320.126.8582.259.830.591181.800.000- | 121.766.470.1541.229.800.154280.409.091-,111.057.638.078-,,,False,False
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,1,4,Chi nhánh Công ty TNHH Một thành viên Xi măng Vicem Hoàng Thạch – Xí nghiệp Tiêu thụ,VNDNăm trước | 961.829.750.013678.411.092-99.837.045 | 113.047.877.6401.234.011.7962.652.681.8207.895.266.880,-36.032.617.131,-36032617131.0,-36032617131.0,False,False
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,2,0,Công ty Cổ phần Xi Măng Hạ Long,Bên liên quan | Công ty TNHH MTV Xi Măng Hạ Long | Tổng Công ty Công nghiệp Xi măng Việt Nam,Công ty Cổ phần Xi Măng Hạ Long,,,False,False
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,2,1,Công ty Cổ phần Xi Măng Hạ Long,Mối quan hệ | Bên liên quan | Công ty mẹ,Bên liên quan,,,False,False
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,2,2,Công ty Cổ phần Xi Măng Hạ Long,"Nội dung nghiệp vụ | Phí gia công xi măngBán cát, pozulanBán cátThanh lý tài sản, công cụ dụng cụ | Chi phí tư vấnChi phí lãi vayBán xi măngMua vỏ bao",Cho mượn nguyên vật liệuMua clinkerThanh lý tài sản,,,False,False
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,2,3,Công ty Cổ phần Xi Măng Hạ Long,Năm nay | 638.320.126.8582.259.830.591181.800.000- | 121.766.470.1541.229.800.154280.409.091-,38.932.874.031541.685.200-,,,False,False
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,2,4,Công ty Cổ phần Xi Măng Hạ Long,VNDNăm trước | 961.829.750.013678.411.092-99.837.045 | 113.047.877.6401.234.011.7962.652.681.8207.895.266.880,14.037.745.400-995.263.091,,,False,False
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,3,0,Công ty Cổ phần Xi măng Vicem Hải Vân,Bên liên quan | Công ty TNHH MTV Xi Măng Hạ Long | Tổng Công ty Công nghiệp Xi măng Việt Nam,Công ty Cổ phần Xi măng Vicem Hải Vân,,,False,False
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,3,1,Công ty Cổ phần Xi măng Vicem Hải Vân,Mối quan hệ | Bên liên quan | Công ty mẹ,Bên liên quan,,,False,False
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,3,2,Công ty Cổ phần Xi măng Vicem Hải Vân,"Nội dung nghiệp vụ | Phí gia công xi măngBán cát, pozulanBán cátThanh lý tài sản, công cụ dụng cụ | Chi phí tư vấnChi phí lãi vayBán xi măngMua vỏ bao",Mua clinkerThanh lý tài sản,,,False,False
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,3,3,Công ty Cổ phần Xi măng Vicem Hải Vân,Năm nay | 638.320.126.8582.259.830.591181.800.000- | 121.766.470.1541.229.800.154280.409.091-,31.881.230.910-,,,False,False
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,3,4,Công ty Cổ phần Xi măng Vicem Hải Vân,VNDNăm trước | 961.829.750.013678.411.092-99.837.045 | 113.047.877.6401.234.011.7962.652.681.8207.895.266.880,-681.818.182,-681818182.0,-681818182.0,False,False
HT1_financial_statements_2018_separate|table_48,HT1_financial_statements_2018_separate,HT1,2018,separate,VND,4,0,Công ty TNHH Siam City Cement Việt Nam,Bên liên quan | Công ty TNHH MTV Xi Măng Hạ Long | Tổng Công ty Công nghiệp Xi măng Việt Nam,Công ty TNHH Siam City Cement Việt Nam,,,False,False
