table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
VRE_financial_statements_2024_separate|table_12,VRE_financial_statements_2024_separate,VRE,2024,separate,MILLION_VND,0,0,b. Đầu tư vào công ty con,column_1,b. Đầu tư vào công ty con,,,False,False
VRE_financial_statements_2024_separate|table_12,VRE_financial_statements_2024_separate,VRE,2024,separate,MILLION_VND,0,1,b. Đầu tư vào công ty con,Số cuối năm | Triệu VND | Giá gốc,b. Đầu tư vào công ty con,,,False,False
VRE_financial_statements_2024_separate|table_12,VRE_financial_statements_2024_separate,VRE,2024,separate,MILLION_VND,0,2,b. Đầu tư vào công ty con,Số cuối năm | Triệu VND | Dự phòng,b. Đầu tư vào công ty con,,,False,False
VRE_financial_statements_2024_separate|table_12,VRE_financial_statements_2024_separate,VRE,2024,separate,MILLION_VND,0,3,b. Đầu tư vào công ty con,Số cuối năm | Triệu VND | Giá trị hợp lý,b. Đầu tư vào công ty con,,,False,False
VRE_financial_statements_2024_separate|table_12,VRE_financial_statements_2024_separate,VRE,2024,separate,MILLION_VND,0,4,b. Đầu tư vào công ty con,Số đầu năm | Triệu VND | Giá gốc,b. Đầu tư vào công ty con,,,False,False
VRE_financial_statements_2024_separate|table_12,VRE_financial_statements_2024_separate,VRE,2024,separate,MILLION_VND,0,5,b. Đầu tư vào công ty con,Số đầu năm | Triệu VND | Dự phòng,b. Đầu tư vào công ty con,,,False,False
VRE_financial_statements_2024_separate|table_12,VRE_financial_statements_2024_separate,VRE,2024,separate,MILLION_VND,0,6,b. Đầu tư vào công ty con,Số đầu năm | Triệu VND | Giá trị hợp lý,b. Đầu tư vào công ty con,,,False,False
VRE_financial_statements_2024_separate|table_12,VRE_financial_statements_2024_separate,VRE,2024,separate,MILLION_VND,1,0,Công ty TNHH Vận hành Vincom Retail,column_1,Công ty TNHH Vận hành Vincom Retail,,,False,False
VRE_financial_statements_2024_separate|table_12,VRE_financial_statements_2024_separate,VRE,2024,separate,MILLION_VND,1,1,Công ty TNHH Vận hành Vincom Retail,Số cuối năm | Triệu VND | Giá gốc,12.168.956,12168956.0,12168956000000.0,False,False
VRE_financial_statements_2024_separate|table_12,VRE_financial_statements_2024_separate,VRE,2024,separate,MILLION_VND,1,2,Công ty TNHH Vận hành Vincom Retail,Số cuối năm | Triệu VND | Dự phòng,-,0.0,0.0,True,False
