table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,0,0,Từ bán hàng ra bên ngoài,Năm nay | Doanh thu,Từ bán hàng ra bên ngoài,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,0,1,Từ bán hàng ra bên ngoài,"Điện thoại di động, máy tính và thiết bị điện tử | Năm nay",90.798.886.168.975,90798886168975.0,90798886168975.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,0,2,Từ bán hàng ra bên ngoài,Thực phẩm và hàng tiêu dùng nhanh | Năm nay,41.083.417.042.057,41083417042057.0,41083417042057.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,0,3,Từ bán hàng ra bên ngoài,Khác | Năm nay,2.458.849.637.770,2458849637770.0,2458849637770.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,0,4,Từ bán hàng ra bên ngoài,Loại trừ | Năm nay,-,0.0,0.0,True,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,0,5,Từ bán hàng ra bên ngoài,VND Tổng cộng | Năm nay,134.341.152.848.802,134341152848802.0,134341152848802.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,1,0,Giữa các bộ phận,Năm nay | Doanh thu,Giữa các bộ phận,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,1,1,Giữa các bộ phận,"Điện thoại di động, máy tính và thiết bị điện tử | Năm nay",301.350.872.801,301350872801.0,301350872801.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,1,2,Giữa các bộ phận,Thực phẩm và hàng tiêu dùng nhanh | Năm nay,5.075.283.444,5075283444.0,5075283444.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,1,3,Giữa các bộ phận,Khác | Năm nay,3.088.188.678.527,3088188678527.0,3088188678527.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,1,4,Giữa các bộ phận,Loại trừ | Năm nay,(3.394.614.834.772),-3394614834772.0,-3394614834772.0,False,False
