table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,0,0,Ông Nguyễn KimLuân,Bên liên quan | Công ty Cổ phầnGỗ Hoàng AnhGia Lai | Công ty TNHHMTV Phát triểnNông nghiệp ĐạiThắng,Ông Nguyễn KimLuân,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,0,1,Ông Nguyễn KimLuân,Mối quan hệ | Công tyliên quan | Công ty con,Bên liên quan,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,0,2,Ông Nguyễn KimLuân,Giao dịch | Lãi cho vayCho vayBán hàng hòavà cung cấpdịch vụMua hàng hóa | Lãi cho vayChi hộBán hàng hóa vàcung cấp dịch vụMua hàng hóa,Lãi cho vayCho vay,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,0,3,Ông Nguyễn KimLuân,Năm nay | 6.812.2912.000.00098.919- | 4.047.501622.490-,1.199.133-,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,0,4,Ông Nguyễn KimLuân,Ngân VNDNăm trước | 14.273.33625.910.692-182.636 | 4.047.501533.0562.718.394679.334,4.180.123114.260.000,4180123114260000.0,4180123114260000.0,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,1,0,Ông Đoàn NguyênĐức,Bên liên quan | Công ty Cổ phầnGỗ Hoàng AnhGia Lai | Công ty TNHHMTV Phát triểnNông nghiệp ĐạiThắng,Ông Đoàn NguyênĐức,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,1,1,Ông Đoàn NguyênĐức,Mối quan hệ | Công tyliên quan | Công ty con,Chủ tịchHĐQT,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,1,2,Ông Đoàn NguyênĐức,Giao dịch | Lãi cho vayCho vayBán hàng hòavà cung cấpdịch vụMua hàng hóa | Lãi cho vayChi hộBán hàng hóa vàcung cấp dịch vụMua hàng hóa,Lãi cho vayCho vayChi phí lãi HĐHTKDDihi hộ,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,1,3,Ông Đoàn NguyênĐức,Năm nay | 6.812.2912.000.00098.919- | 4.047.501622.490-,1.874.921-,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,1,4,Ông Đoàn NguyênĐức,Ngân VNDNăm trước | 14.273.33625.910.692-182.636 | 4.047.501533.0562.718.394679.334,7.486.903104.042.0001.755.556146.430,7.486903104042e+28,7.486903104042e+28,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,2,0,Công ty Cổ phầnNông nghiệp Quốctế Hoàng AnhGia Lai,Bên liên quan | Công ty Cổ phầnGỗ Hoàng AnhGia Lai | Công ty TNHHMTV Phát triểnNông nghiệp ĐạiThắng,Công ty Cổ phầnNông nghiệp Quốctế Hoàng AnhGia Lai,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,2,1,Công ty Cổ phầnNông nghiệp Quốctế Hoàng AnhGia Lai,Mối quan hệ | Công tyliên quan | Công ty con,Công ty có cùngthành viên HĐQT,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,2,2,Công ty Cổ phầnNông nghiệp Quốctế Hoàng AnhGia Lai,Giao dịch | Lãi cho vayCho vayBán hàng hòavà cung cấpdịch vụMua hàng hóa | Lãi cho vayChi hộBán hàng hóa vàcung cấp dịch vụMua hàng hóa,Bán hàng hóa vàcung cấp dịch vụMua hàng hóaMua tài sản,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,2,3,Công ty Cổ phầnNông nghiệp Quốctế Hoàng AnhGia Lai,Năm nay | 6.812.2912.000.00098.919- | 4.047.501622.490-,1.846.282-,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,2,4,Công ty Cổ phầnNông nghiệp Quốctế Hoàng AnhGia Lai,Ngân VNDNăm trước | 14.273.33625.910.692-182.636 | 4.047.501533.0562.718.394679.334,68.812984.349566.154,6.881298434956615e+16,6.881298434956615e+16,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,3,0,Công ty Cổ phầnGỗ Hoàng Anh GiaLai - Chi nhánhNhà Máy nhựa,Bên liên quan | Công ty Cổ phầnGỗ Hoàng AnhGia Lai | Công ty TNHHMTV Phát triểnNông nghiệp ĐạiThắng,Công ty Cổ phầnGỗ Hoàng Anh GiaLai - Chi nhánhNhà Máy nhựa,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,3,1,Công ty Cổ phầnGỗ Hoàng Anh GiaLai - Chi nhánhNhà Máy nhựa,Mối quan hệ | Công tyliên quan | Công ty con,Công tyliên quan,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,3,2,Công ty Cổ phầnGỗ Hoàng Anh GiaLai - Chi nhánhNhà Máy nhựa,Giao dịch | Lãi cho vayCho vayBán hàng hòavà cung cấpdịch vụMua hàng hóa | Lãi cho vayChi hộBán hàng hóa vàcung cấp dịch vụMua hàng hóa,Bán hàng hóa vàcung cấp dịch vụMua hàng hóa,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,3,3,Công ty Cổ phầnGỗ Hoàng Anh GiaLai - Chi nhánhNhà Máy nhựa,Năm nay | 6.812.2912.000.00098.919- | 4.047.501622.490-,515.619-,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,3,4,Công ty Cổ phầnGỗ Hoàng Anh GiaLai - Chi nhánhNhà Máy nhựa,Ngân VNDNăm trước | 14.273.33625.910.692-182.636 | 4.047.501533.0562.718.394679.334,669.18513.805,66918513805.0,66918513805.0,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,4,0,Công ty Cổ phầnBAPI Hoàng AnhGia Lai,Bên liên quan | Công ty Cổ phầnGỗ Hoàng AnhGia Lai | Công ty TNHHMTV Phát triểnNông nghiệp ĐạiThắng,Công ty Cổ phầnBAPI Hoàng AnhGia Lai,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,4,1,Công ty Cổ phầnBAPI Hoàng AnhGia Lai,Mối quan hệ | Công tyliên quan | Công ty con,Công ty con,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,4,2,Công ty Cổ phầnBAPI Hoàng AnhGia Lai,Giao dịch | Lãi cho vayCho vayBán hàng hòavà cung cấpdịch vụMua hàng hóa | Lãi cho vayChi hộBán hàng hóa vàcung cấp dịch vụMua hàng hóa,Bán hàng hóa vàcung cấp dịch vụ,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,4,3,Công ty Cổ phầnBAPI Hoàng AnhGia Lai,Năm nay | 6.812.2912.000.00098.919- | 4.047.501622.490-,224.358,224358.0,224358.0,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,4,4,Công ty Cổ phầnBAPI Hoàng AnhGia Lai,Ngân VNDNăm trước | 14.273.33625.910.692-182.636 | 4.047.501533.0562.718.394679.334,-,0.0,0.0,True,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,5,0,Công ty TNHHMTV Bờ Y,Bên liên quan | Công ty Cổ phầnGỗ Hoàng AnhGia Lai | Công ty TNHHMTV Phát triểnNông nghiệp ĐạiThắng,Công ty TNHHMTV Bờ Y,,,False,False
HAG_financial_statements_2022_separate|table_70,HAG_financial_statements_2022_separate,HAG,2022,separate,VND,5,1,Công ty TNHHMTV Bờ Y,Mối quan hệ | Công tyliên quan | Công ty con,Công tyliên quan,,,False,False
